,0,1,2
0,0,0,1
1,0,1,0
2,0,1,0
3,0,0,1
4,0,1,0
5,1,0,0
6,1,0,0
7,0,0,1
8,0,0,1
9,0,0,1
10,0,0,1
11,0,1,0
12,1,0,0
13,0,0,1
14,1,0,0
15,0,0,1
16,0,1,0
17,0,1,0
18,0,0,1
19,0,1,0
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,0,1,0
28,0,1,0
29,0,0,1
30,0,0,1
31,0,1,0
32,0,0,1
33,0,0,1
34,0,1,0
35,0,0,1
36,0,1,0
37,0,0,1
38,0,1,0
39,0,0,1
40,0,1,0
41,0,1,0
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,1,0
47,0,0,1
48,0,1,0
49,0,0,1
50,0,1,0
51,0,0,1
52,0,1,0
53,1,0,0
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,1,0,0
60,0,0,1
61,0,0,1
62,1,0,0
63,1,0,0
64,1,0,0
65,0,1,0
66,0,0,1
67,0,0,1
68,0,0,1
69,0,0,1
70,0,1,0
71,0,0,1
72,0,1,0
73,0,0,1
74,0,0,1
75,1,0,0
76,1,0,0
77,0,0,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,1,0
84,0,1,0
85,0,0,1
86,1,0,0
87,0,0,1
88,0,0,1
89,0,0,1
90,0,0,1
91,0,0,1
92,0,0,1
93,0,0,1
94,1,0,0
95,1,0,0
96,0,0,1
97,0,0,1
98,0,0,1
99,1,0,0
100,0,1,0
101,0,0,1
102,0,0,1
103,0,0,1
104,1,0,0
105,0,0,1
106,0,1,0
107,0,0,1
108,0,0,1
109,0,1,0
110,1,0,0
111,0,0,1
112,0,0,1
113,0,1,0
114,0,0,1
115,0,0,1
116,0,0,1
117,0,0,1
118,0,1,0
119,0,1,0
120,0,0,1
121,0,0,1
122,1,0,0
123,0,0,1
124,0,0,1
125,0,0,1
126,1,0,0
127,1,0,0
128,0,0,1
129,0,0,1
130,0,1,0
131,0,0,1
132,0,0,1
133,0,1,0
134,0,0,1
135,0,0,1
136,0,0,1
137,0,0,1
138,0,1,0
139,0,0,1
140,0,0,1
141,0,1,0
142,0,0,1
143,0,1,0
144,0,0,1
145,1,0,0
146,0,0,1
147,0,1,0
148,0,0,1
149,0,1,0
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,0,0,1
155,0,0,1
156,0,0,1
157,0,0,1
158,0,0,1
159,0,0,1
160,0,1,0
161,0,0,1
162,0,1,0
